Entity,ratified_bool,signed_date,legal_date,un_country
Afghanistan,TRUE,2016-04-22,2017-02-15,Afghanistan
Albania,TRUE,2016-04-22,2016-09-21,Albania
Algeria,TRUE,2016-04-22,2016-10-20,Algeria
Andorra,TRUE,2016-04-22,2017-03-24,Andorra
Angola,TRUE,2016-04-22,2020-11-16,Angola
Antigua and Barbuda,TRUE,2016-04-22,2016-09-21,Antigua and Barbuda
Argentina,TRUE,2016-04-22,2016-09-21,Argentina
Armenia,TRUE,2016-09-20,2017-03-23,Armenia
Australia,TRUE,2016-04-22,2016-11-09,Australia
Austria,TRUE,2016-04-22,2016-10-05,Austria
Azerbaijan,TRUE,2016-04-22,2017-01-09,Azerbaijan
Bahamas,TRUE,2016-04-22,2016-08-22,Bahamas
Bahrain,TRUE,2016-04-22,2016-12-23,Bahrain
Bangladesh,TRUE,2016-04-22,2016-09-21,Bangladesh
Barbados,TRUE,2016-04-22,2016-04-22,Barbados
Belarus,TRUE,2016-04-22,2016-09-21,Belarus
Belgium,TRUE,2016-04-22,2017-04-06,Belgium
Belize,TRUE,2016-04-22,2016-04-22,Belize
Benin,TRUE,2016-04-22,2016-10-31,Benin
Bhutan,TRUE,2016-04-22,2017-09-19,Bhutan
Bolivia,TRUE,2016-04-22,2016-10-05,Bolivia (Plurinational State of)
Bosnia and Herz.,TRUE,2016-04-22,2017-03-16,Bosnia and Herzegovina
Botswana,TRUE,2016-04-22,2016-11-11,Botswana
Brazil,TRUE,2016-04-22,2016-09-21,Brazil
Brunei,TRUE,2016-04-22,2016-09-21,Brunei Darussalam
Bulgaria,TRUE,2016-04-22,2016-11-29,Bulgaria
Burkina Faso,TRUE,2016-04-22,2016-11-11,Burkina Faso
Burundi,TRUE,2016-04-22,2018-01-17,Burundi
Cambodia,TRUE,2016-04-22,2017-09-21,Cabo Verde
Cameroon,TRUE,2016-04-22,2017-02-06,Cambodia
Canada,TRUE,2016-04-22,2016-07-29,Cameroon
Cape Verde,TRUE,2016-04-22,2016-10-05,Canada
Central African Rep.,TRUE,2016-04-22,2016-10-11,Central African Republic
Chad,TRUE,2016-04-22,2017-01-12,Chad
Chile,TRUE,2016-09-20,2017-02-10,Chile
China,TRUE,2016-04-22,2016-09-03,China
Colombia,TRUE,2016-04-22,2018-07-12,Colombia
Comoros,TRUE,2016-04-22,2016-11-23,Comoros
Congo,TRUE,2016-04-22,2017-04-21,Congo
Cook Islands,TRUE,2016-06-24,2016-09-01,Cook Islands
Costa Rica,TRUE,2016-04-22,2016-10-13,Costa Rica
Côte d'Ivoire,TRUE,2016-04-22,2016-10-25,Côte d'Ivoire
Croatia,TRUE,2016-04-22,2017-05-24,Croatia
Cuba,TRUE,2016-04-22,2016-12-28,Cuba
Cyprus,TRUE,2016-04-22,2017-01-04,Cyprus
Czechia,TRUE,2016-04-22,2017-10-05,Czech Republic
Dem. Rep. Congo,TRUE,2016-04-22,2017-12-13,Democratic Republic of the Congo
Denmark,TRUE,2016-04-22,2016-11-01,Denmark 1
Djibouti,TRUE,2016-04-22,2016-11-11,Djibouti
Dominica,TRUE,2016-04-22,2016-09-21,Dominica
Dominican Republic,TRUE,2016-04-22,2017-09-21,Dominican Republic
Ecuador,TRUE,2016-07-26,2017-09-20,Ecuador
Egypt,TRUE,2016-04-22,2017-06-29,Egypt
El Salvador,TRUE,2016-04-22,2017-03-27,El Salvador
Equatorial Guinea,TRUE,2016-04-22,2018-10-30,Equatorial Guinea
Eritrea,TRUE,2016-04-22,2023-02-07,Eritrea
Estonia,TRUE,2016-04-22,2016-11-04,Estonia
Eswatini,TRUE,2016-04-22,2016-09-21,Eswatini
Ethiopia,TRUE,2016-04-22,2017-03-09,Ethiopia
Fiji,TRUE,2016-04-22,2016-04-22,Fiji
Finland,TRUE,2016-04-22,2016-11-14,Finland
France,TRUE,2016-04-22,2016-10-05,France
Gabon,TRUE,2016-04-22,2016-11-02,Gabon
Gambia,TRUE,2016-04-26,2016-11-07,Gambia
Georgia,TRUE,2016-04-22,2017-05-08,Georgia
Germany,TRUE,2016-04-22,2016-10-05,Germany
Ghana,TRUE,2016-04-22,2016-09-21,Ghana
Greece,TRUE,2016-04-22,2016-10-14,Greece
Grenada,TRUE,2016-04-22,2016-04-22,Grenada
Guatemala,TRUE,2016-04-22,2017-01-25,Guatemala
Guinea,TRUE,2016-04-22,2016-09-21,Guinea
Guinea-Bissau,TRUE,2016-04-22,2018-10-22,Guinea-Bissau
Guyana,TRUE,2016-04-22,2016-05-20,Guyana
Haiti,TRUE,2016-04-22,2017-07-31,Haiti
Honduras,TRUE,2016-04-22,2016-09-21,Honduras
Hungary,TRUE,2016-04-22,2016-10-05,Hungary
Iceland,TRUE,2016-04-22,2016-09-21,Iceland
India,TRUE,2016-04-22,2016-10-02,India
Indonesia,TRUE,2016-04-22,2016-10-31,Indonesia
Iran,FALSE,2016-04-22,  ,Iran (Islamic Republic of)
Iraq,TRUE,2016-12-08,2021-11-01,Iraq
Ireland,TRUE,2016-04-22,2016-11-04,Ireland
Israel,TRUE,2016-04-22,2016-11-22,Israel
Italy,TRUE,2016-04-22,2016-11-11,Italy
Jamaica,TRUE,2016-04-22,2017-04-10,Jamaica
Japan,TRUE,2016-04-22,2016-11-08,Japan
Jordan,TRUE,2016-04-22,2016-11-04,Jordan
Kazakhstan,TRUE,2016-08-02,2016-12-06,Kazakhstan
Kenya,TRUE,2016-04-22,2016-12-28,Kenya
Kiribati,TRUE,2016-04-22,2016-09-21,Kiribati
Kuwait,TRUE,2016-04-22,2018-04-23,Kuwait
Kyrgyzstan,TRUE,2016-09-21,2020-02-18,Kyrgyzstan
Laos,TRUE,2016-04-22,2016-09-07,Lao People's Democratic Republic
Latvia,TRUE,2016-04-22,2017-03-16,Latvia
Lebanon,TRUE,2016-04-22,2020-02-05,Lebanon
Lesotho,TRUE,2016-04-22,2017-01-20,Lesotho
Liberia,TRUE,2016-04-22,2018-08-27,Liberia
Libya,FALSE,2016-04-22,  ,Libya
Liechtenstein,TRUE,2016-04-22,2017-09-20,Liechtenstein
Lithuania,TRUE,2016-04-22,2017-02-02,Lithuania
Luxembourg,TRUE,2016-04-22,2016-11-04,Luxembourg
Madagascar,TRUE,2016-04-22,2016-09-21,Madagascar
Malawi,TRUE,2016-09-20,2017-06-29,Malawi
Malaysia,TRUE,2016-04-22,2016-11-16,Malaysia
Maldives,TRUE,2016-04-22,2016-04-22,Maldives
Mali,TRUE,2016-04-22,2016-09-23,Mali
Malta,TRUE,2016-04-22,2016-10-05,Malta
Mauritania,TRUE,2016-04-22,2017-02-27,Mauritania
Mauritius,TRUE,2016-04-22,2016-04-22,Mauritius
Mexico,TRUE,2016-04-22,2016-09-21,Mexico
Micronesia (country),TRUE,2016-04-22,2016-09-15,Micronesia (Federated States of)
Moldova,TRUE,2016-09-21,2017-06-20,Republic of Moldova
Mongolia,TRUE,2016-04-22,2016-09-21,Mongolia
Montenegro,TRUE,2016-04-22,2017-12-20,Montenegro
Morocco,TRUE,2016-04-22,2016-09-21,Morocco
Mozambique,TRUE,2016-04-22,2018-06-04,Mozambique
Myanmar,TRUE,2016-04-22,2017-09-19,Myanmar
Namibia,TRUE,2016-04-22,2016-09-21,Namibia
Nauru,TRUE,2016-04-22,2016-04-22,Nauru
Nepal,TRUE,2016-04-22,2016-10-05,Nepal
Netherlands,TRUE,2016-04-22,2017-07-28,Netherlands (Kingdom of the) 2
New Zealand,TRUE,2016-04-22,2016-10-04,New Zealand 3
Nicaragua,TRUE,,2017-10-23,Nicaragua
Niger,TRUE,2016-04-22,2016-09-21,Niger
Nigeria,TRUE,2016-09-22,2017-05-16,Nigeria
Niue,TRUE,2016-10-28,2016-10-28,Niue
North Korea,TRUE,2016-04-22,2016-08-01,Democratic People's Republic of Korea
North Macedonia,TRUE,2016-04-22,2018-01-09,North Macedonia
Norway,TRUE,2016-04-22,2016-06-20,Norway
Oman,TRUE,2016-04-22,2019-05-22,Oman
Pakistan,TRUE,2016-04-22,2016-11-10,Pakistan
Palau,TRUE,2016-04-22,2016-04-22,Palau
Panama,TRUE,2016-04-22,2016-09-21,Panama
Papua New Guinea,TRUE,2016-04-22,2016-09-21,Papua New Guinea
Paraguay,TRUE,2016-04-22,2016-10-14,Paraguay
Peru,TRUE,2016-04-22,2016-07-25,Peru
Philippines,TRUE,2016-04-22,2017-03-23,Philippines
Poland,TRUE,2016-04-22,2016-10-07,Poland
Portugal,TRUE,2016-04-22,2016-10-05,Portugal
Qatar,TRUE,2016-04-22,2017-06-23,Qatar
Romania,TRUE,2016-04-22,2017-06-01,Romania
Russia,TRUE,2016-04-22,2019-10-07,Russian Federation
Rwanda,TRUE,2016-04-22,2016-10-06,Rwanda
Saint Kitts and Nevis,TRUE,2016-04-22,2016-04-22,St. Kitts and Nevis
Saint Lucia,TRUE,2016-04-22,2016-04-22,St. Lucia
Saint Vincent and the Grenadines,TRUE,2016-04-22,2016-06-29,St. Vincent and the Grenadines
Samoa,TRUE,2016-04-22,2016-04-22,Samoa
Sao Tome and Principe,TRUE,2016-04-22,2016-11-02,Sao Tome and Principe
Saudi Arabia,TRUE,2016-11-03,2016-11-03,Saudi Arabia
Senegal,TRUE,2016-04-22,2016-09-21,Senegal
Serbia,TRUE,2016-04-22,2017-07-25,Serbia
Seychelles,TRUE,2016-04-25,2016-04-29,Seychelles
Sierra Leone,TRUE,2016-09-22,2016-11-01,Sierra Leone
Singapore,TRUE,2016-04-22,2016-09-21,Singapore
Slovakia,TRUE,2016-04-22,2016-10-05,Slovakia
Slovenia,TRUE,2016-04-22,2016-12-16,Slovenia
Solomon Islands,TRUE,2016-04-22,2016-09-21,Solomon Islands
Somalia,TRUE,2016-04-22,2016-04-22,Somalia
South Africa,TRUE,2016-04-22,2016-11-01,South Africa
South Korea,TRUE,2016-04-22,2016-11-03,Republic of Korea
S. Sudan,TRUE,2016-04-22,2021-02-23,South Sudan
Spain,TRUE,2016-04-22,2017-01-12,Spain
Sri Lanka,TRUE,2016-04-22,2016-09-21,Sri Lanka
Sudan,TRUE,2016-04-22,2017-08-02,Sudan
Suriname,TRUE,2016-04-22,2019-02-13,Suriname
Sweden,TRUE,2016-04-22,2016-10-13,Sweden
Switzerland,TRUE,2016-04-22,2017-10-06,Switzerland
Syria,TRUE,,2017-11-13,Syrian Arab Republic
Tajikistan,TRUE,2016-04-22,2017-03-22,Tajikistan
Tanzania,TRUE,2016-04-22,2018-05-18,United Republic of Tanzania
Thailand,TRUE,2016-04-22,2016-09-21,Thailand
Togo,TRUE,2016-04-22,2017-08-16,Timor-Leste
Tonga,TRUE,2016-09-19,2017-06-28,Togo
Trinidad and Tobago,TRUE,2016-04-22,2016-09-21,Tonga
Tunisia,TRUE,2016-04-22,2018-02-22,Trinidad and Tobago
Turkey,TRUE,2016-04-22,2017-02-10,Tunisia
Turkmenistan,TRUE,2016-04-22,2021-10-11,Türkiye
Turks and Caicos Islands,TRUE,2016-09-23,2016-10-20,Turkmenistan
Tuvalu,TRUE,2016-04-22,2016-04-22,Tuvalu
Uganda,TRUE,2016-04-22,2016-09-21,Uganda
Ukraine,TRUE,2016-04-22,2016-09-19,Ukraine
United Arab Emirates,TRUE,2016-04-22,2016-09-21,United Arab Emirates
United Kingdom,TRUE,2016-04-22,2016-11-18,"United Kingdom of Great Britain and Northern Ireland 4, 5"
United States of America,TRUE,2016-04-22,2021-01-20,United States of America 6
Uruguay,TRUE,2016-04-22,2016-10-19,Uruguay
Uzbekistan,TRUE,2017-04-19,2018-11-09,Uzbekistan
Vanuatu,TRUE,2016-04-22,2016-09-21,Vanuatu
Venezuela,TRUE,2016-04-22,2017-07-21,Venezuela (Bolivarian Republic of)
Vietnam,TRUE,2016-04-22,2016-11-03,Viet Nam
Yemen,FALSE,2016-09-23,  ,Yemen
Zambia,TRUE,2016-09-20,2016-12-09,Zambia
Zimbabwe,TRUE,2016-04-22,2017-08-07,Zimbabwe