Entity,2015,2021,perc_change,have_reduced
Afghanistan,32950400,38388932,0.165,FALSE
Albania,9231435,8348606,-0.096,TRUE
Algeria,257929280,281200100,0.090,FALSE
Andorra,603384.25,579643.9,-0.039,TRUE
Angola,224114100,210664500,-0.060,TRUE
Antigua and Barbuda,574893.06,551638.56,-0.040,TRUE
Argentina,455054300,374615300,-0.177,TRUE
Armenia,9558767,10811998,0.131,FALSE
Aruba,956197.44,908493.56,-0.050,TRUE
Australia,650599200,602523600,-0.074,TRUE
Austria,74992856,73399740,-0.021,TRUE
Azerbaijan,60682228,68342940,0.126,FALSE
Bahamas,2553158.8,2826694,0.107,FALSE
Bahrain,60540136,70922650,0.171,FALSE
Bangladesh,230066880,260359300,0.132,FALSE
Barbados,1512378.2,1302384,-0.139,TRUE
Belarus,99566240,106924000,0.074,FALSE
Belgium,133603600,126667690,-0.052,TRUE
Belize,7700001,6335178,-0.177,TRUE
Benin,30262884,32646900,0.079,FALSE
Bhutan,3840636.8,3606673.2,-0.061,TRUE
Bolivia,120597944,115829290,-0.040,TRUE
Bosnia and Herzegovina,26000814,21675318,-0.166,TRUE
Botswana,19929626,21066084,0.057,FALSE
Brazil,2375172400,2149922600,-0.095,TRUE
British Virgin Islands,233340.66,181107.7,-0.224,TRUE
Brunei,14089223,17202468,0.221,FALSE
Bulgaria,58192810,51323430,-0.118,TRUE
Burkina Faso,43030764,47309736,0.099,FALSE
Burundi,9948857,9680346,-0.027,TRUE
Cambodia,85841440,80265770,-0.065,TRUE
Cameroon,70639710,67284590,-0.047,TRUE
Canada,835309800,777304640,-0.069,TRUE
Cape Verde,735762.1,836440,0.137,FALSE
Central African Republic,26181812,26928330,0.029,FALSE
Chad,98423224,116463490,0.183,FALSE
Chile,126289130,124002510,-0.018,TRUE
China,12020059000,13710636000,0.141,FALSE
Colombia,268462880,299312600,0.115,FALSE
Comoros,763360.25,984584.9,0.290,FALSE
Congo,37935556,39103852,0.031,FALSE
Cook Islands,62658.457,89311,0.425,FALSE
Costa Rica,15044368,14397038,-0.043,TRUE
Cote d'Ivoire,89758210,93137660,0.038,FALSE
Croatia,23513698,21714940,-0.076,TRUE
Cuba,39314824,37143424,-0.055,TRUE
Cyprus,7361805,8392833,0.140,FALSE
Czechia,107038296,100932440,-0.057,TRUE
Democratic Republic of Congo,634278000,544845400,-0.141,TRUE
Denmark,50860844,44549116,-0.124,TRUE
Djibouti,1823912.5,1886537.8,0.034,FALSE
Dominica,232084.06,204049.22,-0.121,TRUE
Dominican Republic,36586252,43943360,0.201,FALSE
East Timor,8864638,9377215,0.058,FALSE
Ecuador,94884424,84265610,-0.112,TRUE
Egypt,316910200,345371900,0.090,FALSE
El Salvador,11382164,8947714,-0.214,TRUE
Equatorial Guinea,20218966,18435188,-0.088,TRUE
Eritrea,8595431,10249743,0.192,FALSE
Estonia,20936806,15742598,-0.248,TRUE
Eswatini,2263789.2,2611030.8,0.153,FALSE
Ethiopia,249136770,298824060,0.199,FALSE
Fiji,2338421.5,2414869,0.033,FALSE
Finland,88789920,79500376,-0.105,TRUE
France,421045300,390787100,-0.072,TRUE
Gabon,30193982,24690578,-0.182,TRUE
Gambia,3945848,3905443.8,-0.010,TRUE
Georgia,8984524,10640341,0.184,FALSE
Germany,873100540,745931840,-0.146,TRUE
Ghana,44581284,48872380,0.096,FALSE
Greece,84792330,59725900,-0.296,TRUE
Grenada,257533.6,355530.34,0.381,FALSE
Guatemala,56376852,51641730,-0.084,TRUE
Guinea,39940244,50954464,0.276,FALSE
Guinea-Bissau,4484349,4654343,0.038,FALSE
Guyana,12135083,12469429,0.028,FALSE
Haiti,16617830,19185748,0.155,FALSE
Honduras,32511056,34914610,0.074,FALSE
Hong Kong,48667550,38349256,-0.212,TRUE
Hungary,53855900,56342756,0.046,FALSE
Iceland,4645182,4429273.5,-0.046,TRUE
India,3438726000,3900927000,0.134,FALSE
Indonesia,2642710500,2052639000,-0.223,TRUE
Iran,841893900,1004503400,0.193,FALSE
Iraq,306740540,380905340,0.242,FALSE
Ireland,55067380,58096960,0.055,FALSE
Israel,76831330,71876180,-0.064,TRUE
Italy,393069120,372025540,-0.054,TRUE
Jamaica,9196856,8714901,-0.052,TRUE
Japan,1257564400,1104304300,-0.122,TRUE
Jordan,33509454,34398104,0.027,FALSE
Kazakhstan,406585800,380184770,-0.065,TRUE
Kenya,97779840,103067910,0.054,FALSE
Kiribati,89855.41,110612.21,0.231,FALSE
Kuwait,131220190,145848690,0.111,FALSE
Kyrgyzstan,20430176,20432608,0.000,FALSE
Laos,68968700,67923220,-0.015,TRUE
Latvia,14115388,14763020,0.046,FALSE
Lebanon,30932882,31218000,0.009,FALSE
Lesotho,6203221,6036074.5,-0.027,TRUE
Liberia,20328192,20096898,-0.011,TRUE
Libya,72526140,86077660,0.187,FALSE
Liechtenstein,173398.58,163504.5,-0.057,TRUE
Lithuania,25399096,24670628,-0.029,TRUE
Luxembourg,10242671,9296169,-0.092,TRUE
Macao,2140798,1444754.6,-0.325,TRUE
Madagascar,57280616,56291840,-0.017,TRUE
Malawi,23331300,23848074,0.022,FALSE
Malaysia,463706600,428738370,-0.075,TRUE
Maldives,1515845.6,2374859.2,0.567,FALSE
Mali,38875988,43734040,0.125,FALSE
Malta,1868731.1,1877413.2,0.005,FALSE
Mauritania,14958361,17378012,0.162,FALSE
Mauritius,5435254,5662715.5,0.042,FALSE
Mexico,862055940,807837630,-0.063,TRUE
Micronesia (country),101234.94,124743.66,0.232,FALSE
Moldova,6904856.5,6953372,0.007,FALSE
Mongolia,50523364,93267630,0.846,FALSE
Montenegro,1812935.8,2978360.5,0.643,FALSE
Morocco,99773000,110461740,0.107,FALSE
Mozambique,76403000,81286580,0.064,FALSE
Myanmar,251200860,268536420,0.069,FALSE
Namibia,17443808,19005100,0.090,FALSE
Nauru,59781.14,64964.613,0.087,FALSE
Nepal,45882868,57041572,0.243,FALSE
Netherlands,205947550,177776110,-0.137,TRUE
New Zealand,64193724,68861770,0.073,FALSE
Nicaragua,37956720,37922930,-0.001,TRUE
Niger,56152196,58815176,0.047,FALSE
Nigeria,429649470,444498340,0.035,FALSE
Niue,8895.671,13545.979,0.523,FALSE
North Korea,56529980,84851730,0.501,FALSE
North Macedonia,8866923,8065454.5,-0.090,TRUE
Norway,76306510,72132240,-0.055,TRUE
Oman,105085784,121185950,0.153,FALSE
Pakistan,439048900,533172930,0.214,FALSE
Palau,276813.47,304322.34,0.099,FALSE
Panama,21462360,24189908,0.127,FALSE
Papua New Guinea,49839816,52659516,0.057,FALSE
Paraguay,118505150,102357310,-0.136,TRUE
Peru,146380700,139043900,-0.050,TRUE
Philippines,239367460,269934140,0.128,FALSE
Poland,361544000,384653440,0.064,FALSE
Portugal,62355576,51533380,-0.174,TRUE
Qatar,177787330,205832210,0.158,FALSE
Romania,97942350,102693510,0.049,FALSE
Russia,2143207600,2410954200,0.125,FALSE
Rwanda,9613372,10167423,0.058,FALSE
Saint Helena,15010.017,18079.629,0.205,FALSE
Saint Kitts and Nevis,214450.3,214229.66,-0.001,TRUE
Saint Lucia,524037.84,540336.9,0.031,FALSE
Saint Vincent and the Grenadines,278341.9,259039.61,-0.069,TRUE
Samoa,752971.56,503368.38,-0.331,TRUE
Sao Tome and Principe,191436.95,215959.95,0.128,FALSE
Saudi Arabia,810498700,821468350,0.014,FALSE
Senegal,25837354,31299054,0.211,FALSE
Serbia,50487500,38493130,-0.238,TRUE
Seychelles,586891.5,661352.75,0.127,FALSE
Sierra Leone,21153414,19400120,-0.083,TRUE
Singapore,63036216,39819120,-0.368,TRUE
Slovakia,41877510,42089196,0.005,FALSE
Slovenia,19966420,17752356,-0.111,TRUE
Solomon Islands,4156623.5,3840602.8,-0.076,TRUE
Somalia,45364144,47936770,0.057,FALSE
South Africa,556446460,552890200,-0.006,TRUE
South Korea,677623900,659403100,-0.027,TRUE
South Sudan,63843916,58769720,-0.079,TRUE
Spain,325008900,284545380,-0.124,TRUE
Sri Lanka,43677236,42087400,-0.036,TRUE
Sudan,158389780,151308080,-0.045,TRUE
Suriname,6420342.5,7938112.5,0.236,FALSE
Sweden,78461250,65116584,-0.170,TRUE
Switzerland,45512896,41204570,-0.095,TRUE
Syria,45115080,38876510,-0.138,TRUE
Taiwan,301048960,307908300,0.023,FALSE
Tajikistan,14924269,21923554,0.469,FALSE
Tanzania,240249140,224477710,-0.066,TRUE
Thailand,480242300,452123140,-0.059,TRUE
Togo,11249697,10923421,-0.029,TRUE
Tonga,318197.4,328930.66,0.034,FALSE
Trinidad and Tobago,64995116,55284110,-0.149,TRUE
Tunisia,44571932,45453628,0.020,FALSE
Turkey,507774880,598351400,0.178,FALSE
Turkmenistan,132070984,142366060,0.078,FALSE
Turks and Caicos Islands,327220.88,358016.03,0.094,FALSE
Tuvalu,18179.979,19410.707,0.068,FALSE
Uganda,61940388,68197180,0.101,FALSE
Ukraine,310499520,284420800,-0.084,TRUE
United Arab Emirates,269514620,263519650,-0.022,TRUE
United Kingdom,505815900,420895070,-0.168,TRUE
United States of America,6213992000,5925714400,-0.046,TRUE
Uruguay,46558644,45395060,-0.025,TRUE
Uzbekistan,184473040,206963060,0.122,FALSE
Vanuatu,398995.38,380325.44,-0.047,TRUE
Venezuela,300758000,189462780,-0.370,TRUE
Vietnam,492696320,570343700,0.158,FALSE
World,53660480000,54593196000,0.017,FALSE
Yemen,32476784,31402334,-0.033,TRUE
Zambia,94454690,90094220,-0.046,TRUE
Zimbabwe,40395972,38060010,-0.058,TRUE